Field,brain_num,threshold,vol_tot_more_thresh.mm3.,vol_tar_more_thresh.mm3.,focality,activation,vol_thresh...,non_target_activ...,mean_tar,sd_tar
Configuration_F7_F8_P5_P6.cache,1,0.112085284,969099,1436,0.148178875,49.79195562,82.62417938,99.85182112,0.113348366,0.019928455
Configuration_AF9_AF10_O9_O10.cache,1,0.039164391,948252,1441,0.151963824,49.96532594,80.84679001,99.84803618,0.040143155,0.007340187
Configuration_F5_F6_O9_O10.cache,1,0.039164391,949221,1441,0.151808694,49.96532594,80.92940575,99.84819131,0.040143155,0.007340187
Configuration_F7_F8_O9_O10.cache,1,0.039164391,949333,1441,0.151790784,49.96532594,80.93895473,99.84820922,0.040143155,0.007340187
Configuration_F9_F10_O9_O10.cache,1,0.039164391,949345,1441,0.151788865,49.96532594,80.93997783,99.84821114,0.040143155,0.007340187
Configuration_AF7_AF8_CP1_CP2.cache,1,0.062302549,982299,1457,0.14832551,50.52011096,83.74959502,99.85167449,0.061887701,0.009952935
Configuration_AF7_AF8_P3_P4.cache,1,0.075964966,955005,1408,0.147433783,48.82108183,81.42254242,99.85256622,0.076279995,0.013274211
Configuration_AF9_AF10_CP1_CP2.cache,1,0.062302549,993303,1457,0.146682332,50.52011096,84.68778242,99.85331767,0.061887701,0.009952935
Configuration_F9_F10_CP1_CP2.cache,1,0.062302549,1015591,1457,0.143463264,50.52011096,86.58802967,99.85653674,0.061887701,0.009952935
Configuration_F5_F6_CP1_CP2.cache,1,0.062302549,1016526,1457,0.143331307,50.52011096,86.66774661,99.85666869,0.061887701,0.009952935
Configuration_AF9_AF10_P3_P4.cache,1,0.075964966,987853,1408,0.142531328,48.82108183,84.22312218,99.85746867,0.076279995,0.013274211
Configuration_F7_F8_CP1_CP2.cache,1,0.062302549,1017322,1457,0.143219158,50.52011096,86.73561258,99.85678084,0.061887701,0.009952935
Configuration_F5_F6_PO7_PO8.cache,1,0.083060928,1007648,1412,0.140128299,48.95977809,85.91081934,99.8598717,0.084271469,0.015333952
Configuration_F9_F10_PO7_PO8.cache,1,0.083060928,1024877,1412,0.13777263,48.95977809,87.37974252,99.86222737,0.084271469,0.015333952
Configuration_F7_F8_PO7_PO8.cache,1,0.083060928,1025197,1412,0.137729627,48.95977809,87.40702532,99.86227037,0.084271469,0.015333952
Configuration_F3_F4_O1_O2.cache,1,0.033557619,1039849,1458,0.140212665,50.55478502,88.65623668,99.85978733,0.034369523,0.006414093
Configuration_AF7_AF8_O1_O2.cache,1,0.033557619,1041137,1458,0.140039207,50.55478502,88.76604996,99.85996079,0.034369523,0.006414093
Configuration_AF9_AF10_O1_O2.cache,1,0.033557619,1041325,1458,0.140013925,50.55478502,88.78207861,99.85998608,0.034369523,0.006414093
Configuration_F5_F6_O1_O2.cache,1,0.033557619,1041857,1458,0.13994243,50.55478502,88.82743627,99.86005757,0.034369523,0.006414093
Configuration_F9_F10_O1_O2.cache,1,0.033557619,1041860,1458,0.139942027,50.55478502,88.82769205,99.86005797,0.034369523,0.006414093
Configuration_F7_F8_O1_O2.cache,1,0.033557619,1041894,1458,0.13993746,50.55478502,88.83059084,99.86006254,0.034369523,0.006414093
Configuration_F3_F4_P1_P2.cache,1,0.041520831,1070479,1476,0.1378822,51.17891817,91.26771251,99.8621178,0.041906192,0.007294987
Configuration_AF7_AF8_P1_P2.cache,1,0.041520831,1073467,1476,0.137498405,51.17891817,91.52246568,99.8625016,0.041906192,0.007294987
Configuration_AF9_AF10_P1_P2.cache,1,0.041520831,1074213,1476,0.137402917,51.17891817,91.58606872,99.86259708,0.041906192,0.007294987
Configuration_F5_F6_P1_P2.cache,1,0.041520831,1076210,1476,0.137147954,51.17891817,91.75633046,99.86285205,0.041906192,0.007294987
Configuration_F9_F10_P1_P2.cache,1,0.041520831,1076252,1476,0.137142602,51.17891817,91.75991133,99.8628574,0.041906192,0.007294987
Configuration_F7_F8_P1_P2.cache,1,0.041520831,1076322,1476,0.137133683,51.17891817,91.76587944,99.86286632,0.041906192,0.007294987
Configuration_F3_F4_PO3_PO4.cache,1,0.043294665,1055013,1440,0.136491209,49.93065187,89.94910052,99.86350879,0.044023148,0.008070832
Configuration_AF7_AF8_PO3_PO4.cache,1,0.043294665,1061243,1440,0.135689941,49.93065187,90.4802626,99.86431006,0.044023148,0.008070832
Configuration_AF9_AF10_PO3_PO4.cache,1,0.043294665,1062199,1440,0.135567817,49.93065187,90.56176997,99.86443218,0.044023148,0.008070832
Configuration_F5_F6_PO3_PO4.cache,1,0.043294665,1064448,1440,0.135281385,49.93065187,90.75351692,99.86471861,0.044023148,0.008070832
Configuration_F9_F10_PO3_PO4.cache,1,0.043294665,1064524,1440,0.135271727,49.93065187,90.75999659,99.86472827,0.044023148,0.008070832
Configuration_F7_F8_PO3_PO4.cache,1,0.043294665,1064619,1440,0.135259656,49.93065187,90.76809617,99.86474034,0.044023148,0.008070832
Configuration_F5_F6_P3_P4.cache,1,0.075964966,1057771,1408,0.133110097,48.82108183,90.18424418,99.8668899,0.076279995,0.013274211
Configuration_F9_F10_P3_P4.cache,1,0.075964966,1064627,1408,0.132252892,48.82108183,90.76877824,99.86774711,0.076279995,0.013274211
Configuration_F7_F8_P3_P4.cache,1,0.075964966,1065996,1408,0.132083047,48.82108183,90.88549748,99.86791695,0.076279995,0.013274211
