"","Participant","Trial_Nr","Run_Nr","Trial_nr_run","Cue_Taste1_Size2","Top_image_index","Bottom_image_index","Choice","RT_choice","Size_top_image","Taste_top_image","Size_bottom_image","Taste_bottom_image","Size_diff","Taste_diff","Cued_diff","Category","mean_RT_size_pic1","mean_RT_taste_pic1","mean_RT_size_pic2","mean_RT_taste_pic2","Diff_category_oposite_to_cue","Category_opposite_to_cue","Stimulation","Session_type","Accuracy","Size1_TopPic","Size2_TopPic","Taste1_TopPic","Taste2_TopPic","Size1_BotPic","Size2_BotPic","Taste1_BotPic","Taste2_BotPic","Amplitude","Circumfence","Time_between_tasks","Name_top_image","Name_bottom_image","Choice01","Size_diff.ntile","Taste_diff.ntile","Size_diff.abs","Taste_diff.abs","corr"
"305",1,129,5,17,1,28,8,1,1.617256258,0.514756944,0.15625,0.311197917,0.260416667,0.203559028,-0.104166667,-0.104166667,2,2.594807074,2.233435894,1.948185517,1.887498795,0.203559028,0,0,0,0,0.626736111,0.402777778,0.180555556,0.131944444,0.387152778,0.235243056,0.384548611,0.136284722,1,57,32.8022,"mango","carrot",1,8,3,0.409411532751402,-0.415250224669391,0
"306",1,130,5,18,1,23,15,1,1.339729818,0.848524306,0.777777778,0.350260417,0.707465278,0.498263889,0.0703125,0.0703125,6,3.282252621,2.522195033,1.961086764,2.465233106,0.498263889,0,0,0,0,0.817708333,0.879340278,0.730034722,0.825520833,0.332465278,0.368055556,0.793402778,0.621527778,1,57,32.8022,"kitkat","galak",1,8,6,2.70183806707722,-0.610811399009204,1
"307",1,131,5,19,1,14,27,-1,1.473983461,0.101128472,0.663628472,0.444010417,0.5234375,-0.342881944,0.140190972,0.140190972,7,2.641409119,2.002170309,3.392728869,2.834136651,-0.342881944,0,0,0,0,0.094618056,0.107638889,0.750868056,0.576388889,0.536458333,0.3515625,0.380208333,0.666666667,1,57,32.8022,"duplo","maltesers",0,1,7,1.493165456573,-0.207153082873653,0
"308",1,132,5,20,1,5,4,-1,0.968621547,0.112847222,0.391059028,0.37109375,0.584201389,-0.258246528,-0.193142361,-0.193142361,1,1.685426136,3.523201254,3.283182611,2.051432333,-0.258246528,0,0,0,0,0.108506944,0.1171875,0.270833333,0.511284722,0.400173611,0.342013889,0.449652778,0.71875,1,57,32.8022,"torino","benandjerrys",0,1,2,0.83481027124029,0.0987246489802799,1
"315",1,139,5,27,1,1,11,-1,1.485982452,0.101996528,0.296875,0.172309028,0.249131944,-0.0703125,0.047743056,0.047743056,5,2.417928911,2.797818826,2.271800011,2.004471319,-0.0703125,3,0,0,0,0.09375,0.110243056,0.442708333,0.151041667,0.209201389,0.135416667,0.234375,0.263888889,1,57,32.8022,"pineapple","corny",0,3,5,-0.627075871485844,-0.741185511384695,0
"316",1,140,5,28,1,21,19,1,0.897753432,0.268229167,0.727864583,0.318142361,0.559461806,-0.049913194,0.168402778,0.168402778,8,1.969753492,1.729109215,2.588982228,2.695134356,-0.049913194,4,0,0,0,0.383680556,0.152777778,0.616319444,0.839409722,0.359375,0.276909722,0.590277778,0.528645833,1,57,32.8022,"frosties","cottagecheese",1,4,7,-0.785756356760337,-0.0441854366277126,1
"317",1,141,5,29,1,31,28,-1,1.189791926,0.274739583,0.135416667,0.514756944,0.15625,-0.240017361,-0.020833333,-0.020833333,4,1.934162422,2.478933215,2.594807074,2.233435894,-0.240017361,0,0,0,0,0.1796875,0.369791667,0.098090278,0.172743056,0.626736111,0.402777778,0.180555556,0.131944444,1,57,32.8022,"melon","mango",0,1,4,0.693010689151088,-0.896631576001765,1
"318",1,142,5,30,1,24,6,1,1.948667507,0.402777778,0.473958333,0.391493056,0.517361111,0.011284722,-0.043402778,-0.043402778,4,2.30738397,2.623006864,2.718148303,2.821370657,0.011284722,5,0,0,0,0.3828125,0.422743056,0.631944444,0.315972222,0.400173611,0.3828125,0.499131944,0.535590278,1,57,32.8022,"kiwi","bounty",1,5,4,-1.08623641634531,-0.766257457849697,0
"319",1,143,5,31,1,30,20,1,2.545983379,0.203993056,0.674479167,0.271701389,0.515625,-0.067708333,0.158854167,0.158854167,8,3.23841708,1.619346922,1.426346466,2.846805365,-0.067708333,3,0,0,0,0.300347222,0.107638889,0.6015625,0.747395833,0.332465278,0.2109375,0.666666667,0.364583333,1,57,32.8022,"mars","cornflakes",1,3,7,-0.647332956863936,-0.0993437153847725,1
"320",1,144,5,32,1,2,1,1,1.524728861,0.391927083,0.421875,0.101996528,0.296875,0.289930556,0.125,0.125,7,2.372858598,1.805807012,2.417928911,2.797818826,0.289930556,0,0,0,0,0.471354167,0.3125,0.588541667,0.255208333,0.09375,0.110243056,0.442708333,0.151041667,1,57,32.8022,"balisto","pineapple",1,8,6,1.08127144685531,-0.294904889724585,1
"321",1,145,5,33,1,21,26,1,2.367775439,0.268229167,0.727864583,0.367621528,0.696614583,-0.099392361,0.03125,0.03125,5,1.969753492,1.729109215,2.492345324,2.211645626,-0.099392361,3,0,0,0,0.383680556,0.152777778,0.616319444,0.839409722,0.603298611,0.131944444,0.753472222,0.639756944,1,57,32.8022,"frosties","magnum",1,3,5,-0.400871781248912,-0.836458905641074,1
"326",1,150,6,5,1,8,1,-1,1.738324493,0.311197917,0.260416667,0.101996528,0.296875,0.209201389,-0.036458333,-0.036458333,4,1.948185517,1.887498795,2.417928911,2.797818826,0.209201389,0,0,0,0,0.387152778,0.235243056,0.384548611,0.136284722,0.09375,0.110243056,0.442708333,0.151041667,1,57,32.8022,"carrot","pineapple",0,8,4,0.453301877921667,-0.806372573349016,1
"327",1,151,6,6,1,15,4,1,2.574106085,0.350260417,0.707465278,0.37109375,0.584201389,-0.020833333,0.123263889,0.123263889,7,1.961086764,2.465233106,3.283182611,2.051432333,-0.020833333,4,0,0,0,0.332465278,0.368055556,0.793402778,0.621527778,0.400173611,0.342013889,0.449652778,0.71875,1,57,32.8022,"galak","benandjerrys",1,4,6,-1.01196044699727,-0.304933667155271,1
"328",1,152,6,7,1,24,1,-1,1.174414593,0.402777778,0.473958333,0.101996528,0.296875,0.30078125,0.177083333,0.177083333,8,2.30738397,2.623006864,2.417928911,2.797818826,0.30078125,0,0,0,0,0.3828125,0.422743056,0.631944444,0.315972222,0.09375,0.110243056,0.442708333,0.151041667,1,57,32.8022,"kiwi","pineapple",0,8,7,1.16567595500304,0.00595845052571627,0
"329",1,153,6,8,1,16,4,1,1.898848826,0.571614583,0.682725694,0.37109375,0.584201389,0.200520833,0.098524306,0.098524306,6,3.092844979,2.346799961,3.283182611,2.051432333,0.200520833,0,0,0,0,0.518229167,0.625,0.605902778,0.759548611,0.400173611,0.342013889,0.449652778,0.71875,1,57,32.8022,"applegreen","benandjerrys",1,8,6,0.385778265180508,-0.447843752763263,1
"336",1,160,6,15,1,5,20,-1,1.035844795,0.112847222,0.391059028,0.271701389,0.515625,-0.158854167,-0.124565972,-0.124565972,2,1.685426136,3.523201254,1.426346466,2.846805365,-0.158854167,1,0,0,0,0.108506944,0.1171875,0.270833333,0.511284722,0.332465278,0.2109375,0.666666667,0.364583333,1,57,32.8022,"torino","cornflakes",0,2,3,0.0616649458033584,-0.297412085526401,1
"337",1,161,6,16,1,9,29,1,1.594212017,0.303385417,0.299479167,0.162760417,0.134548611,0.140625,0.164930556,0.164930556,8,4.129151853,1.606676501,3.194139797,2.99551133,0.140625,7,0,0,0,0.428819444,0.177951389,0.223958333,0.375,0.175347222,0.150173611,0.122395833,0.146701389,1,57,32.8022,"chocovo","maoam",1,7,7,-0.0801346362858443,-0.0642429914890841,1
"338",1,162,6,17,1,28,29,-1,1.344068729,0.514756944,0.15625,0.162760417,0.134548611,0.351996528,0.021701389,0.021701389,5,2.594807074,2.233435894,3.194139797,2.99551133,0.351996528,0,0,0,0,0.626736111,0.402777778,0.180555556,0.131944444,0.175347222,0.150173611,0.122395833,0.146701389,1,57,32.8022,"mango","maoam",0,8,5,1.56406525150696,-0.891617184398134,0
"339",1,163,6,18,1,18,27,-1,2.182069268,0.523871528,0.641493056,0.444010417,0.5234375,0.079861111,0.118055556,0.118055556,7,1.611139714,2.604006708,3.392728869,2.834136651,0.079861111,6,0,0,0,0.543402778,0.504340278,0.598958333,0.684027778,0.536458333,0.3515625,0.380208333,0.666666667,1,57,32.8022,"haribo","maltesers",0,6,6,-0.552799902137801,-0.335019999447328,0
"340",1,164,6,19,1,22,25,-1,1.307982441,0.439670139,0.647135417,0.380208333,0.773003472,0.059461806,-0.125868056,-0.125868056,2,2.622142581,2.123720393,1.928882712,2.208760509,0.059461806,6,0,0,0,0.381076389,0.498263889,0.575520833,0.71875,0.348958333,0.411458333,0.747395833,0.798611111,1,57,32.8022,"bueno","lindt",0,6,3,-0.711480379633573,-0.289890498120954,1
"341",1,165,6,20,1,27,16,1,2.205331677,0.444010417,0.5234375,0.571614583,0.682725694,-0.127604167,-0.159288194,-0.159288194,1,3.392728869,2.834136651,3.092844979,2.346799961,-0.127604167,2,0,0,0,0.536458333,0.3515625,0.380208333,0.666666667,0.518229167,0.625,0.605902778,0.759548611,1,57,32.8022,"maltesers","applegreen",1,2,2,-0.181420047618864,-0.0968365253595331,0
