Participant,Trial_Nr,Run_Nr,Trial_nr_run,Cue_Taste1_Size2,Top_image_index,Bottom_image_index,Choice,RT_choice,Size_top_image,Taste_top_image,Size_bottom_image,Taste_bottom_image,Size_diff,Taste_diff,Cued_diff,Category,mean_RT_size_pic1,mean_RT_taste_pic1,mean_RT_size_pic2,mean_RT_taste_pic2,Diff_category_oposite_to_cue,Category_opposite_to_cue,Stimulation,Session_type,Accuracy,Size1_TopPic,Size2_TopPic,Taste1_TopPic,Taste2_TopPic,Size1_BotPic,Size2_BotPic,Taste1_BotPic,Taste2_BotPic,Amplitude,Circumfence,Time_between_tasks,Name_top_image,Name_bottom_image
4,107,4,23,2,10,2,1,1.427036524,0.411458333,0.552083333,0.580295139,0.185329861,-0.168836806,0.366753472,-0.168836806,1,3.174862656,1.373637012,2.227985119,1.068589854,0.366753472,0,0,0,0,0.405381944,0.417534722,0.539930556,0.564236111,0.636284722,0.524305556,0.0703125,0.300347222,2,56,0,lemon,balisto
4,108,4,24,2,13,23,1,1.037749508,0.855902778,0.5,0.761284722,0.584635417,0.094618056,-0.084635417,0.094618056,6,1.577664635,1.082527217,0.943210192,1.65316678,-0.084635417,3,0,0,0,0.845486111,0.866319444,0.502604167,0.497395833,0.703993056,0.818576389,0.6171875,0.552083333,2,56,0,darvida,kitkat
4,109,4,25,2,2,23,-1,0.806918946,0.580295139,0.185329861,0.761284722,0.584635417,-0.180989583,-0.399305556,-0.180989583,1,2.227985119,1.068589854,0.943210192,1.65316678,-0.399305556,0,0,0,0,0.636284722,0.524305556,0.0703125,0.300347222,0.703993056,0.818576389,0.6171875,0.552083333,2,56,0,balisto,kitkat
4,110,4,26,2,4,32,-1,1.965884273,0.3984375,0.973958333,0.387152778,0.137152778,0.011284722,0.836805556,0.011284722,5,1.799274495,1.31692315,1.720898464,0.654268292,0.836805556,0,0,0,0,0.376736111,0.420138889,0.975694444,0.972222222,0.410590278,0.363715278,0.073784722,0.200520833,2,56,0,benandjerrys,meringues
4,111,4,27,2,21,15,1,1.043931629,0.483940972,0.594184028,0.30859375,0.031684028,0.175347222,0.5625,0.175347222,8,1.10722242,1.627900269,1.235044752,1.134479333,0.5625,0,0,0,0,0.478298611,0.489583333,0.578125,0.610243056,0.478298611,0.138888889,0,0.063368056,2,56,0,frosties,galak
4,112,4,28,2,18,10,1,1.562236498,0.478298611,0.970920139,0.411458333,0.552083333,0.066840278,0.418836806,0.066840278,6,1.115873806,1.605517601,3.174862656,1.373637012,0.418836806,0,0,0,0,0.458333333,0.498263889,0.941840278,1,0.405381944,0.417534722,0.539930556,0.564236111,2,56,0,haribo,lemon
4,113,5,1,1,1,16,-1,1.021375165,0.103298611,0.735243056,0.490017361,0.774305556,-0.38671875,-0.0390625,-0.0390625,4,1.212140554,2.169159824,1.016619676,1.156531191,-0.38671875,0,0,0,0,0.089409722,0.1171875,0.795138889,0.675347222,0.496527778,0.483506944,0.770833333,0.777777778,2,56,0,pineapple,applegreen
4,114,5,2,1,10,5,1,1.008761181,0.411458333,0.552083333,0.103298611,0.389322917,0.308159722,0.162760417,0.162760417,8,3.174862656,1.373637012,1.895468711,0.952920991,0.308159722,0,0,0,0,0.405381944,0.417534722,0.539930556,0.564236111,0.082465278,0.124131944,0.413194444,0.365451389,2,56,0,lemon,torino
4,115,5,3,1,27,21,-1,0.878740092,0.545572917,0.638020833,0.483940972,0.594184028,0.061631944,0.043836806,0.043836806,5,1.360478316,1.089785677,1.10722242,1.627900269,0.061631944,6,0,0,0,0.469618056,0.621527778,0.642361111,0.633680556,0.478298611,0.489583333,0.578125,0.610243056,2,56,0,maltesers,frosties
4,116,5,4,1,13,10,-1,0.814290046,0.855902778,0.5,0.411458333,0.552083333,0.444444444,-0.052083333,-0.052083333,3,1.577664635,1.082527217,3.174862656,1.373637012,0.444444444,0,0,0,0,0.845486111,0.866319444,0.502604167,0.497395833,0.405381944,0.417534722,0.539930556,0.564236111,2,56,0,darvida,lemon
